hybridId,arousal,arousalScale
243,46.428571428599994,chill
244,59.7714285714,groovy
245,67.08571428569999,punchy
246,67.2,punchy
247,47.0571428571,chill
248,55.8571428571,groovy
249,51.0,chill
250,51.5142857143,chill
251,39.4857142857,chill
252,62.5142857143,groovy
253,71.0285714286,punchy
254,69.4285714286,punchy
255,43.8285714286,chill
256,77.4571428571,punchy
257,63.1428571429,groovy
258,43.1142857143,chill
259,66.88571428569999,punchy
260,54.4857142857,groovy
261,74.2,punchy
262,58.7428571429,groovy
263,70.6571428571,punchy
264,65.9714285714,punchy
265,69.9714285714,punchy
266,43.6,chill
267,82.77142857140001,punchy
268,68.5428571429,punchy
269,50.571428571400006,chill
270,66.22857142859999,punchy
271,58.0857142857,groovy
272,55.5428571429,groovy
273,44.4857142857,chill
274,57.0,groovy
275,64.6,punchy
276,69.9428571429,punchy
277,65.6571428571,punchy
278,63.8,groovy
279,72.9714285714,punchy
280,76.2,punchy
281,57.9428571429,groovy
282,49.8,chill
283,69.3714285714,punchy
284,55.8285714286,groovy
285,48.3428571429,chill
286,66.88571428569999,punchy
287,68.7428571429,punchy
288,65.5142857143,punchy
289,51.1714285714,chill
290,61.0,groovy
291,59.571428571400006,groovy
292,68.0285714286,punchy
293,42.8285714286,chill
294,79.0,punchy
295,42.0285714286,chill
296,72.91428571430001,punchy
297,64.08571428569999,punchy
298,76.2571428571,punchy
299,64.6857142857,punchy
300,67.6571428571,punchy
301,68.91428571430001,punchy
302,40.3142857143,chill
303,62.0,groovy
304,63.7714285714,groovy
305,68.6857142857,punchy
306,50.971428571400004,chill
307,57.714285714300004,groovy
308,40.0857142857,chill
309,52.714285714300004,chill
310,67.9714285714,punchy
312,67.7428571429,punchy
313,55.5428571429,groovy
314,53.2,groovy
315,61.1714285714,groovy
316,62.7428571429,groovy
317,47.685714285699994,chill
318,61.285714285699996,groovy
319,60.9428571429,groovy
320,43.428571428599994,chill
321,58.1428571429,groovy
322,64.22857142859999,punchy
323,66.3714285714,punchy
324,59.285714285699996,groovy
325,45.3714285714,chill
